playername,timeplayed,gamesplayed,errors,RMSE,a,b,c
Arielz7,332,347,[],21.383013388020814,-0.01792472378831155,3.9189259071336413,55.44639462708552
arieola,603,770,[],6.855264906125663,-0.010988927494847442,3.5433430924159834,33.85628140465939
arillist,530,422,[],33.25712658385703,-0.010539925364322095,3.846254667345428,79.8506465597816
ArisaIchigaya,1203,3814,[],9.113661254585486,-0.00302930750799744,4.823702171504459,18.80426993839878
Arkhalis,904,597,[],12.153260759988092,-0.005021090582156759,2.737472005224205,38.87008312953093
Arko,1096,264,[],24.663084506260393,-0.06729813765838674,4.031073232202103,67.98732065191831
Arnlo,889,451,[],19.005213848731607,-0.00278237705987884,3.871883174084554,66.01666020269734
arsic,774,2089,[],6.585092099496005,-0.006247253785339988,2.1538491055312945,31.194446846864885
Art3misFowl,1217,3104,[],14.77340252029232,8.060171340664453e-06,3.8231974361446697,4.38513997689335
arthurdavi11,1336,7931,[],6.669695577478373,-0.005616523003141527,3.625905446842821,23.828045409956086
Arthurono,1080,10044,[],7.304260922740602,-0.0027268791254785535,4.7211712167125635,40.49730618366871
artisticat,949,1193,[],6.211516311813499,-0.005514500023091297,3.2156629515710526,43.03376990392179
Arturo03,396,407,[],5.650607865301009,-0.008723360672921,1.804179013934384,51.42871212695636
Arucoy,503,1760,[],2.138149904106952,-2.9501483094000768e-05,6.9572447550949885,-999.9994122408423
asa1ss,702,858,[],6.914791216626335,-0.00837571425946955,2.561096741811068,47.549702040190134
ASadPotato,1298,767,[],9.940296174868639,-0.0024102581437714624,3.705295503569457,50.49353683811146
Asashi,669,615,[],5.899063436738344,-0.014933482260346322,3.716459742425409,30.14346708535957
ascinic,340,244,[],8.207002272857368,-8.217094983052437e-05,6.9749220917539745,-999.9999999998871
asdfang,998,894,[],20.698556501019173,-0.005088897720066863,3.662712861229961,41.26831426714222
asdfg,1018,1385,[],15.780398541767031,-0.0011334388365247746,2.926029144032058,26.248591272367605
asdfg321,1296,792,[],19.333756304504824,-0.0032833416523777564,2.7282218986914955,66.8386575429375
asegha,1235,906,[],17.48028726372778,-8.569995257474843e-06,6.862069454695368,-885.8620846925547
AsffsA,1204,625,[],12.100356464855405,9.610312312260708e-06,6.142057992620278,-410.4768919730894
ashash,1008,1337,[],10.84213278170793,-0.04296998397005814,3.2721180794028357,74.13027232560476
ashfire,887,979,[],7.223312452094144,-0.004026027589555373,3.8490728020836844,42.68907095834386
ashi9280,1106,3603,[],51.34666350429452,-0.007728668790960776,4.016127013830946,50.671200787092744
asianfredfred,352,310,[],4.523855210076143,-0.012008839753357167,2.1773638689513364,33.1294913358564
ASK,1192,3624,[],14.943562673731511,-0.00511475644646948,3.852573098303693,37.54674219861771
Asobrain,195,452,[],7.466543437196977,-0.016822806201639222,4.4399867533127955,41.71578143930737
ASOVY-chap,658,687,[],12.410116467929418,-0.011819655067938167,4.8325726619511435,54.70256747349233
AsphodelMeadows,1252,2122,[],8.730634152580398,-0.004515941441683717,3.9014393471591213,50.31680137288137
